tconst,genre_id
tt0036695,18
tt0036723,6
tt0036723,16
tt0036723,17
tt0036733,9
tt0036733,11
tt0036733,15
tt0036775,7
tt0036775,9
tt0036775,12
tt0036818,6
tt0036818,10
tt0036855,7
tt0036855,9
tt0036855,18
tt0036868,9
tt0036868,21
tt0036868,27
tt0036872,6
tt0036872,9
tt0036872,16
tt0036891,6
tt0036891,27
tt0036910,5
tt0036910,9
tt0036910,14
tt0036931,11
tt0036931,15
tt0036931,22
tt0036969,9
tt0036969,21
tt0037008,9
tt0037008,12
tt0037008,18
tt0037017,9
tt0037017,27
tt0037059,6
tt0037059,9
tt0037059,10
tt0037075,7
tt0037075,9
tt0037075,12
tt0037077,6
tt0037077,21
tt0037077,27
tt0037094,9
tt0037094,21
tt0037101,7
tt0037101,9
tt0037101,12
tt0037120,9
tt0037120,10
tt0037120,24
tt0037166,3
tt0037166,9
tt0037166,21
tt0037168,7
tt0037168,9
tt0037168,15
tt0037248,7
tt0037248,15
tt0037248,18
tt0037280,9
tt0037280,21
tt0037280,27
tt0037303,15
tt0037303,18
tt0037303,26
tt0037365,6
tt0037365,7
tt0037365,12
tt0037366,9
tt0037366,14
tt0037366,27
tt0037382,3
tt0037382,6
tt0037382,9
tt0037415,11
tt0037415,15
tt0037415,18
tt0037469,7
tt0037469,9
tt0037469,12
tt0037514,6
tt0037514,11
tt0037514,17
tt0037515,7
tt0037515,9
tt0037515,18
tt0037536,9
tt0037549,15
tt0037549,26
tt0037558,9
tt0037558,21
tt0037595,6
tt0037595,21
tt0037611,9
tt0037611,12
tt0037611,18
tt0037630,9
tt0037630,21
tt0037635,9
tt0037635,11
tt0037635,15
tt0037638,7
tt0037638,9
tt0037638,12
tt0037674,9
tt0037674,21
tt0037691,7
tt0037691,12
tt0037691,18
tt0037793,11
tt0037793,15
tt0037793,22
tt0037794,7
tt0037794,9
tt0037794,12
tt0037800,9
tt0037800,21
tt0037820,9
tt0037820,15
tt0037820,18
tt0037824,5
tt0037824,9
tt0037824,14
tt0037865,9
tt0037865,12
tt0037865,21
tt0037884,9
tt0037884,12
tt0037913,7
tt0037913,9
tt0037913,12
tt0037954,1
tt0037954,3
tt0037954,9
tt0037988,9
tt0037988,11
tt0037988,15
tt0038057,7
tt0038057,9
tt0038057,12
tt0038109,9
tt0038109,12
tt0038109,18
tt0038160,9
tt0038160,27
tt0038166,4
tt0038166,6
tt0038166,10
tt0038190,9
tt0038190,10
tt0038190,21
tt0038259,7
tt0038259,9
tt0038259,15
tt0038348,9
tt0038348,11
tt0038348,21
tt0038355,7
tt0038355,9
tt0038355,12
tt0038363,6
tt0038363,11
tt0038369,7
tt0038369,9
tt0038369,12
tt0038453,7
tt0038453,9
tt0038453,12
tt0038455,7
tt0038455,9
tt0038455,12
tt0038492,9
tt0038492,18
tt0038492,21
tt0038494,7
tt0038494,9
tt0038494,18
tt0038499,9
tt0038499,21
tt0038499,28
tt0038559,9
tt0038559,12
tt0038559,21
tt0038574,3
tt0038574,9
tt0038574,18
tt0038577,6
tt0038577,7
tt0038577,18
tt0038589,6
tt0038589,9
tt0038589,14
tt0038622,9
tt0038622,12
tt0038622,16
tt0038650,9
tt0038650,10
tt0038650,11
tt0038669,7
tt0038669,9
tt0038669,12
tt0038718,3
tt0038718,4
tt0038718,6
tt0038733,9
tt0038733,11
tt0038733,21
tt0038762,9
tt0038762,21
tt0038762,28
tt0038777,6
tt0038777,10
tt0038787,9
tt0038787,12
tt0038787,18
tt0038823,9
tt0038823,27
tt0038854,7
tt0038854,9
tt0038854,12
tt0038873,9
tt0038873,21
tt0038890,9
tt0038890,26
tt0038890,27
tt0038913,9
tt0038969,4
tt0038969,6
tt0038969,10
tt0038975,9
tt0038975,15
tt0038975,18
tt0038988,9
tt0038988,12
tt0038988,21
tt0038991,7
tt0038991,9
tt0038991,12
tt0039017,7
tt0039017,9
tt0039017,12
tt0039111,9
tt0039111,10
tt0039111,28
tt0039152,9
tt0039152,21
tt0039152,28
tt0039169,6
tt0039169,21
tt0039190,6
tt0039190,9
tt0039190,11
tt0039192,9
tt0039204,9
tt0039204,12
tt0039204,24
tt0039208,7
tt0039208,9
tt0039208,12
tt0039211,7
tt0039211,9
tt0039211,12
tt0039220,7
tt0039220,9
tt0039220,12
tt0039224,7
tt0039224,9
tt0039224,12
tt0039251,4
tt0039251,6
tt0039251,10
tt0039286,7
tt0039286,9
tt0039286,12
tt0039302,9
tt0039302,12
tt0039302,26
tt0039305,7
tt0039305,9
tt0039305,12
tt0039404,3
tt0039404,4
tt0039404,6
tt0039416,9
tt0039416,21
tt0039417,9
tt0039420,6
tt0039420,9
tt0039420,11
tt0039502,6
tt0039502,16
tt0039502,21
tt0039536,7
tt0039536,9
tt0039536,12
tt0039545,7
tt0039545,9
tt0039545,12
tt0039566,6
tt0039566,10
tt0039589,7
tt0039589,9
tt0039589,12
tt0039628,6
tt0039628,9
tt0039628,10
tt0039631,6
tt0039631,7
tt0039631,9
tt0039661,9
tt0039661,12
tt0039677,7
tt0039677,9
tt0039677,12
tt0039689,7
tt0039689,9
tt0039689,12
tt0039694,7
tt0039694,9
tt0039694,21
tt0039725,7
tt0039725,9
tt0039725,12
tt0039739,7
tt0039739,9
tt0039757,9
tt0039757,12
tt0039757,18
tt0039808,6
tt0039808,11
tt0039808,21
tt0039822,9
tt0039822,21
tt0039822,27
tt0039853,6
tt0039853,7
tt0039853,17
tt0039926,7
tt0039926,9
tt0039926,12
tt0040064,9
tt0040064,28
tt0040068,6
tt0040068,10
tt0040068,11
tt0040160,7
tt0040160,9
tt0040160,12
tt0040202,9
tt0040202,12
tt0040308,17
tt0040308,21
tt0040338,9
tt0040338,12
tt0040338,18
tt0040366,7
tt0040366,9
tt0040366,12
tt0040367,6
tt0040367,9
tt0040367,21
tt0040369,9
tt0040369,28
tt0040416,9
tt0040427,7
tt0040427,9
tt0040427,12
tt0040458,9
tt0040458,10
tt0040495,9
tt0040497,6
tt0040506,1
tt0040506,7
tt0040506,9
tt0040522,9
tt0040525,7
tt0040525,9
tt0040525,12
tt0040536,9
tt0040536,21
tt0040558,9
tt0040558,14
tt0040558,27
tt0040580,4
tt0040580,6
tt0040580,10
tt0040613,6
tt0040613,21
tt0040636,7
tt0040636,9
tt0040636,12
tt0040662,9
tt0040694,3
tt0040694,6
tt0040694,17
tt0040695,7
tt0040695,9
tt0040695,12
tt0040705,9
tt0040705,11
tt0040705,18
tt0040723,7
tt0040723,9
